fips,cases_sum_56,county,cases_sum_78,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,ratio,mask rate
45001,3267,Abbeville,17041,0.11699999999999999,0.102,0.243,0.166,0.371,5.21610039791858,0.6425
22001,25571,Acadia,131924,0.122,0.111,0.138,0.265,0.36200000000000004,5.1591255719369595,0.6575
51001,49157,Accomack,67189,0.001,0.019,0.055,0.1,0.8240000000000001,1.366824663832211,0.9312500000000001
16001,58227,Ada,460979,0.11800000000000001,0.078,0.084,0.19399999999999998,0.526,7.916928572655298,0.733
19001,493,Adair,1700,0.073,0.128,0.128,0.307,0.364,3.4482758620689653,0.69025
21001,5939,Adair,12641,0.076,0.115,0.16699999999999998,0.243,0.39899999999999997,2.1284728068698433,0.6935
29001,3185,Adair,9107,0.067,0.098,0.187,0.253,0.395,2.8593406593406594,0.70275
40001,5354,Adair,16983,0.105,0.068,0.258,0.213,0.35600000000000004,3.172020918939111,0.6617500000000001
8001,190575,Adams,366315,0.032,0.027000000000000003,0.071,0.185,0.685,1.9221566312475404,0.8660000000000001
16003,288,Adams,1097,0.094,0.21600000000000003,0.218,0.218,0.254,3.8090277777777777,0.5805
17001,2933,Adams,26245,0.18,0.092,0.18899999999999997,0.19,0.35,8.94817592908285,0.61
18001,1217,Adams,5884,0.136,0.047,0.16,0.348,0.309,4.834839769926048,0.6617500000000001
19003,286,Adams,879,0.14800000000000002,0.11,0.15,0.311,0.281,3.0734265734265733,0.61675
28001,12051,Adams,33455,0.113,0.11199999999999999,0.131,0.084,0.56,2.776118164467679,0.7165
31001,15833,Adams,21222,0.057,0.128,0.08900000000000001,0.29100000000000004,0.435,1.3403650603170594,0.7297500000000001
39001,678,Adams,3249,0.07400000000000001,0.11599999999999999,0.149,0.222,0.439,4.792035398230088,0.7090000000000001
42001,14717,Adams,29328,0.039,0.034,0.083,0.23800000000000002,0.606,1.9927974451314805,0.8345
53001,4464,Adams,23618,0.077,0.051,0.07200000000000001,0.076,0.7240000000000001,5.290770609318996,0.8297500000000001
55001,392,Adams,4275,0.163,0.18899999999999997,0.22699999999999998,0.213,0.20800000000000002,10.90561224489796,0.5285
50001,3906,Addison,4496,0.028999999999999998,0.045,0.086,0.139,0.7020000000000001,1.1510496671786994,0.8605
45003,12219,Aiken,90779,0.1,0.086,0.11599999999999999,0.193,0.505,7.429331369179147,0.72925
27001,487,Aitkin,1840,0.187,0.115,0.075,0.247,0.375,3.7782340862423,0.6265000000000001
12001,29174,Alachua,214206,0.001,0.024,0.053,0.17,0.7509999999999999,7.342359635291698,0.9109999999999999
37001,28852,Alamance,131912,0.04,0.073,0.126,0.175,0.586,4.572022736725357,0.7985
6001,211714,Alameda,732217,0.019,0.008,0.055,0.12300000000000001,0.795,3.458519512172081,0.9167500000000001
8003,5223,Alamosa,13658,0.052000000000000005,0.133,0.094,0.228,0.493,2.614972238177293,0.7442500000000001
36001,108971,Albany,153153,0.006,0.012,0.052000000000000005,0.142,0.7879999999999999,1.4054473208468308,0.9234999999999999
56001,1219,Albany,5056,0.136,0.1,0.151,0.18100000000000002,0.43200000000000005,4.14766201804758,0.66825
51003,13101,Albemarle,45902,0.023,0.022000000000000002,0.054000000000000006,0.09300000000000001,0.81,3.503702007480345,0.91225
26001,856,Alcona,1684,0.065,0.046,0.133,0.18,0.5760000000000001,1.9672897196261683,0.7890000000000001
28003,1342,Alcorn,19575,0.069,0.131,0.15,0.222,0.428,14.586438152011922,0.70225
2013,38,Aleutians East Borough,194,0.067,0.032,0.034,0.316,0.551,5.105263157894737,0.8130000000000001
2016,101,Aleutians West Census Area,3955,0.078,0.031,0.03,0.337,0.524,39.15841584158416,0.7995000000000001
17003,732,Alexander,2084,0.11,0.08199999999999999,0.14800000000000002,0.262,0.39799999999999996,2.8469945355191255,0.6890000000000001
37003,2232,Alexander,16158,0.027000000000000003,0.023,0.10300000000000001,0.272,0.575,7.239247311827957,0.8362499999999999
51510,108894,Alexandria city,174652,0.032,0.02,0.065,0.17,0.7120000000000001,1.603871655003949,0.8770000000000001
40003,61,Alfalfa,247,0.203,0.096,0.188,0.25,0.262,4.049180327868853,0.5675
26003,39,Alger,581,0.025,0.034,0.11800000000000001,0.22899999999999998,0.595,14.897435897435898,0.8342499999999999
19005,7076,Allamakee,9303,0.138,0.049,0.132,0.212,0.469,1.3147258338044092,0.70625
26005,13813,Allegan,29956,0.05,0.035,0.133,0.28300000000000003,0.5,2.1686816766813872,0.7875000000000001
24001,10485,Allegany,17473,0.006999999999999999,0.01,0.035,0.213,0.736,1.666475917978064,0.91575
36003,2908,Allegany,4647,0.062,0.015,0.027999999999999997,0.124,0.7709999999999999,1.5980055020632737,0.8817499999999999
37005,1165,Alleghany,6878,0.153,0.067,0.067,0.21,0.504,5.903862660944206,0.71175
51005,1142,Alleghany,3377,0.145,0.034,0.12300000000000001,0.174,0.525,2.957092819614711,0.7255
42003,114755,Allegheny,463363,0.017,0.022000000000000002,0.035,0.165,0.7609999999999999,4.037845845496928,0.9077499999999998
18003,97889,Allen,228238,0.07,0.14,0.099,0.228,0.46399999999999997,2.3316000776389583,0.7195
20001,34,Allen,918,0.153,0.212,0.126,0.16699999999999998,0.341,27.0,0.5822499999999999
21003,5227,Allen,13294,0.10099999999999999,0.07200000000000001,0.09699999999999999,0.21100000000000002,0.519,2.543332695618902,0.74375
22003,10684,Allen,60583,0.196,0.07,0.11800000000000001,0.2,0.41600000000000004,5.6704417821040805,0.6425000000000001
39003,12379,Allen,40433,0.085,0.10400000000000001,0.114,0.382,0.314,3.2662573713547136,0.6835
45005,2125,Allendale,10863,0.172,0.21100000000000002,0.012,0.22,0.384,5.112,0.60775
26007,6150,Alpena,7854,0.025,0.04,0.14400000000000002,0.18,0.612,1.2770731707317073,0.829
6003,102,Alpine,109,0.025,0.085,0.08800000000000001,0.19,0.612,1.0686274509803921,0.81975
6005,623,Amador,7788,0.045,0.013000000000000001,0.099,0.188,0.655,12.5008025682183,0.8487500000000001
51007,1704,Amelia,4377,0.013000000000000001,0.069,0.11599999999999999,0.13,0.672,2.568661971830986,0.8447500000000001
51009,1524,Amherst,8194,0.064,0.033,0.07400000000000001,0.204,0.625,5.376640419947506,0.82325
28005,3490,Amite,11690,0.11,0.092,0.122,0.204,0.473,3.349570200573066,0.71
2020,16802,Anchorage,109809,0.042,0.05,0.049,0.196,0.6629999999999999,6.535471967622902,0.847
20003,85,Anderson,1463,0.18899999999999997,0.063,0.13699999999999998,0.267,0.344,17.211764705882352,0.6285
21005,1124,Anderson,4097,0.062,0.01,0.044000000000000004,0.483,0.401,3.645017793594306,0.78775
45007,17629,Anderson,119505,0.069,0.065,0.138,0.26,0.46799999999999997,6.778887061092518,0.74825
47001,3027,Anderson,32016,0.08800000000000001,0.105,0.11199999999999999,0.215,0.48,10.576808721506442,0.7235
48001,18098,Anderson,129462,0.172,0.10400000000000001,0.095,0.08800000000000001,0.541,7.153387114598298,0.6805000000000001
29003,1612,Andrew,5062,0.133,0.19699999999999998,0.16399999999999998,0.23399999999999999,0.272,3.140198511166253,0.57875
48003,1854,Andrews,15363,0.09,0.044000000000000004,0.067,0.20199999999999999,0.597,8.28640776699029,0.7929999999999999
23001,17040,Androscoggin,33748,0.083,0.099,0.040999999999999995,0.19899999999999998,0.5770000000000001,1.9805164319248827,0.7715000000000001
48005,14150,Angelina,92762,0.121,0.064,0.079,0.2,0.536,6.555618374558304,0.7415
24003,225222,Anne Arundel,417847,0.018000000000000002,0.022000000000000002,0.067,0.154,0.7390000000000001,1.8552672474269831,0.8935000000000001
27003,77589,Anoka,204486,0.054000000000000006,0.078,0.132,0.245,0.49200000000000005,2.6355024552449446,0.76125
37007,4162,Anson,18354,0.053,0.062,0.08,0.163,0.6409999999999999,4.409899086977415,0.8187499999999999
31003,438,Antelope,1085,0.198,0.096,0.191,0.161,0.354,2.4771689497716896,0.59425
26009,777,Antrim,2287,0.027000000000000003,0.042,0.08800000000000001,0.218,0.625,2.943371943371943,0.843
4001,88018,Apache,183039,0.055,0.063,0.031,0.15,0.701,2.079563271149083,0.8447499999999999
19007,778,Appanoose,2703,0.044000000000000004,0.11,0.239,0.193,0.413,3.474293059125964,0.70475
13001,9632,Appling,35768,0.085,0.11699999999999999,0.23,0.152,0.41600000000000004,3.713455149501661,0.67425
51011,1790,Appomattox,4986,0.063,0.018000000000000002,0.105,0.204,0.61,2.7854748603351953,0.82
48007,349,Aransas,8217,0.006,0.005,0.17,0.07400000000000001,0.746,23.544412607449857,0.88775
8005,255754,Arapahoe,419463,0.013000000000000001,0.026000000000000002,0.065,0.193,0.703,1.640103380592288,0.8867499999999999
48009,115,Archer,1358,0.081,0.053,0.099,0.091,0.6759999999999999,11.808695652173913,0.8069999999999999
8007,489,Archuleta,1797,0.040999999999999995,0.040999999999999995,0.155,0.276,0.488,3.6748466257668713,0.7827500000000001
26011,2055,Arenac,2656,0.052000000000000005,0.136,0.076,0.252,0.484,1.2924574209245743,0.745
5001,497,Arkansas,10616,0.019,0.073,0.134,0.21600000000000003,0.557,21.36016096579477,0.8042500000000001
51013,118717,Arlington,183040,0.01,0.018000000000000002,0.035,0.187,0.75,1.5418179367740088,0.91225
42005,3788,Armstrong,11109,0.027000000000000003,0.07400000000000001,0.159,0.17300000000000001,0.568,2.9326821541710664,0.79575
48011,150,Armstrong,382,0.08,0.066,0.11599999999999999,0.25,0.488,2.546666666666667,0.75
23003,633,Aroostook,1906,0.14300000000000002,0.047,0.12,0.243,0.447,3.0110584518167456,0.7010000000000001
22005,51868,Ascension,149244,0.049,0.092,0.142,0.14800000000000002,0.569,2.8773810441890952,0.774
37009,1976,Ashe,7416,0.149,0.026000000000000002,0.083,0.287,0.455,3.7530364372469633,0.71825
39005,1452,Ashland,7465,0.068,0.035,0.268,0.19,0.43799999999999994,5.1411845730027546,0.72325
55003,148,Ashland,1142,0.078,0.038,0.11800000000000001,0.363,0.40299999999999997,7.716216216216216,0.7437499999999999
5003,1906,Ashley,14547,0.023,0.10300000000000001,0.163,0.11699999999999999,0.595,7.6322140608604405,0.79
39007,18801,Ashtabula,32471,0.14400000000000002,0.008,0.099,0.257,0.49200000000000005,1.7270889846284772,0.7362500000000001
53003,1158,Asotin,1816,0.013999999999999999,0.028999999999999998,0.115,0.32,0.522,1.5682210708117443,0.82675
22007,15768,Assumption,32538,0.079,0.034,0.213,0.20600000000000002,0.46799999999999997,2.063546423135464,0.7375
48013,2610,Atascosa,24094,0.001,0.01,0.032,0.156,0.802,9.231417624521074,0.9375
20005,1231,Atchison,4958,0.13699999999999998,0.122,0.16899999999999998,0.256,0.316,4.027619821283509,0.623
29005,164,Atchison,820,0.09,0.14400000000000002,0.09699999999999999,0.287,0.382,5.0,0.68175
39009,1006,Athens,17626,0.071,0.115,0.16399999999999998,0.23600000000000002,0.413,17.520874751491053,0.70075
13003,3267,Atkinson,17531,0.059000000000000004,0.1,0.179,0.217,0.445,5.366085093357821,0.7222500000000001
34001,128505,Atlantic,207398,0.019,0.040999999999999995,0.03,0.17600000000000002,0.7340000000000001,1.6139294190887514,0.8912500000000001
40005,335,Atoka,3895,0.076,0.184,0.111,0.284,0.345,11.626865671641792,0.6595
28007,16700,Attala,29492,0.065,0.10400000000000001,0.092,0.139,0.601,1.7659880239520958,0.77725
29007,4352,Audrain,11774,0.11,0.078,0.203,0.281,0.327,2.705422794117647,0.6587500000000001
19009,732,Audubon,1604,0.22399999999999998,0.073,0.19399999999999998,0.187,0.322,2.191256830601093,0.5774999999999999
39011,4162,Auglaize,13588,0.131,0.08900000000000001,0.153,0.342,0.285,3.264776549735704,0.64025
51015,6901,Augusta,16305,0.028999999999999998,0.037000000000000005,0.061,0.17300000000000001,0.701,2.3627010578177075,0.8704999999999999
46003,1218,Aurora,2318,0.239,0.073,0.23600000000000002,0.15,0.302,1.90311986863711,0.55075
48015,1809,Austin,14278,0.006,0.024,0.054000000000000006,0.22399999999999998,0.6920000000000001,7.892758430071863,0.893
1001,14770,Autauga,63048,0.053,0.07400000000000001,0.134,0.295,0.444,4.2686526743398785,0.75075
37011,206,Avery,4527,0.096,0.01,0.212,0.17300000000000001,0.509,21.975728155339805,0.74725
