fips,mask rate,ratio,stay at home 56,stay at home 78,>50 gatherings 56,>50 gatherings 78,>500 gatherings 56,>500 gatherings 78,restaurant dine-in 56,restaurant dine-in 78,entertainment/gym 56,entertainment/gym 78,public schools 56,public schools 78,federal guidelines 56,federal guidelines 78,foreign travel ban 56,foreign travel ban 78
45001,0.6425,5.21610039791858,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
22001,0.6575,5.1591255719369595,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
51001,0.9312500000000001,1.366824663832211,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
16001,0.733,7.916928572655298,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
19001,0.69025,3.4482758620689653,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
21001,0.6935,2.1284728068698433,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
29001,0.70275,2.8593406593406594,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1
40001,0.6617500000000001,3.172020918939111,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
8001,0.8660000000000001,1.9221566312475404,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
16003,0.5805,3.8090277777777777,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
17001,0.61,8.94817592908285,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
18001,0.6617500000000001,4.834839769926048,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
19003,0.61675,3.0734265734265733,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
28001,0.7165,2.776118164467679,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
31001,0.7297500000000001,1.3403650603170594,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
39001,0.7090000000000001,4.792035398230088,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
42001,0.8345,1.9927974451314805,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1
53001,0.8297500000000001,5.290770609318996,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
